leagues,outcomes,edge_min,sel_n,sel_roi,hld_n,hld_roi,hld_win,hld_per_season
D1+G1+I1+P1,draw+away,0.15,687,-0.08528788525158952,454,0.12307619847087983,0.48237885462555063,64.85714285714286
G1+I1+N1+P1,draw+away,0.15,632,-0.0720373797153346,406,0.12297368344017323,0.5049261083743842,58.0
G1+T1,home+draw,0.15,506,0.04764768047804474,319,0.12281525942241978,0.6238244514106583,45.57142857142857
D1+G1+N1+P1,away,0.12,682,-0.04100720890338186,472,0.12279557426908454,0.510593220338983,67.42857142857143
G1+I1+N1+T1,draw,0.1,689,-0.022129821208549137,546,0.12277633896144635,0.3058608058608059,78.0
D1+E0+P1,all,0.18,689,0.04594889907362105,296,0.12270109439992845,0.5641891891891891,42.285714285714285
G1+I1,draw,0.08,546,-0.0715855473338195,474,0.12261758069522809,0.31645569620253167,67.71428571428571
G1+I1,draw,0.05,546,-0.0715855473338195,474,0.12261758069522809,0.31645569620253167,67.71428571428571
E1+F1+G1+I1,draw,0.08,1351,0.002595149268827386,742,0.1225795200571894,0.29649595687331537,106.0
E1+F1+G1+I1,draw,0.05,1351,0.002595149268827386,742,0.1225795200571894,0.29649595687331537,106.0
E1+I1+SC0+T1,draw,0.05,1204,-0.03595452402527471,845,0.12257607722523546,0.2982248520710059,120.71428571428571
E1+I1+SC0+T1,draw,0.08,1204,-0.03595452402527471,845,0.12257607722523546,0.2982248520710059,120.71428571428571
D1+P1+SC0+T1,all,0.2,559,0.012523193387517884,307,0.12239720479007804,0.5667752442996743,43.857142857142854
D1+E1+I1+SC0,draw,0.12,490,-0.07806136858644834,312,0.12220145774746394,0.28525641025641024,44.57142857142857
D1+F1+I1+T1,draw,0.05,1294,-0.059043318727412704,907,0.12219787414139516,0.2822491730981257,129.57142857142858
D1+F1+I1+T1,draw,0.08,1294,-0.059043318727412704,907,0.12219787414139516,0.2822491730981257,129.57142857142858
E1+G1+T1,home+draw,0.15,683,0.056449598155678016,466,0.12219531969178837,0.5987124463519313,66.57142857142857
E0+G1+I1+T1,home+draw,0.15,1187,0.011716653581347226,438,0.12206718263249065,0.6118721461187214,62.57142857142857
B1+I1+T1,draw,0.1,534,0.007929557791395368,398,0.12203789020643824,0.31155778894472363,56.857142857142854
